Date,Linalg norm,Name
2020/05/20/19/59/37,0.36240609762804665,Unknown
2020/05/20/19/59/37,0.38425482088917184,Unknown
2020/05/20/19/59/37,0.29750048767209913,Unknown
2020/05/20/19/59/37,0.4079725708646104,BorgesMaria
2020/05/20/19/59/37,0.27445979441439505,Unknown
2020/05/20/19/59/37,0.3849388812563749,Unknown
2020/05/20/19/59/39,0.27731613101833485,Unknown
2020/05/20/19/59/39,0.2679568099253221,Unknown
2020/05/20/19/59/39,0.36944518386613,Unknown
2020/05/20/19/59/39,0.2820077970175863,Unknown
2020/05/20/19/59/40,0.2793517588064546,Unknown
2020/05/20/19/59/40,0.3895801709059121,Unknown
2020/05/20/19/59/40,0.3652891710016566,Unknown
2020/05/20/19/59/40,0.2534913912625174,Unknown
2020/05/20/19/59/42,0.3011364875385677,Unknown
2020/05/20/19/59/42,0.2907920420656656,Unknown
2020/05/20/19/59/42,0.378769808485921,Unknown
2020/05/20/19/59/42,0.2488490970162527,Unknown
2020/05/20/19/59/43,0.4087528432915252,AllThingsEka
2020/05/20/19/59/43,0.2717921794959669,Unknown
2020/05/20/19/59/43,0.2912887446898456,Unknown
2020/05/20/19/59/43,0.2459957731451909,Unknown
2020/05/20/19/59/45,0.26490780602508224,Unknown
2020/05/20/19/59/45,0.2904905613149075,Unknown
2020/05/20/19/59/45,0.3769187935942587,Unknown
2020/05/20/19/59/45,0.2485875219195417,Unknown
2020/05/20/19/59/46,0.5071488524966736,Rasmus
2020/05/20/19/59/49,0.4652500647310097,Rasmus
2020/05/20/19/59/50,0.5951306277929543,Rasmus
2020/05/20/19/59/50,0.6234677016030242,Rasmus
2020/05/20/19/59/50,0.5876159456953816,Rasmus
2020/05/20/19/59/51,0.666068270031303,Rasmus
2020/05/20/19/59/51,0.6496434929663063,Rasmus
2020/05/20/19/59/52,0.6286046752715059,Rasmus
2020/05/20/19/59/52,0.6793688713772932,Rasmus
2020/05/20/19/59/53,0.6174363589332044,Rasmus
2020/05/20/19/59/53,0.6650289354630883,Rasmus
2020/05/20/19/59/54,0.6389407414774508,Rasmus
2020/05/20/19/59/54,0.6750195670299151,Rasmus
2020/05/20/19/59/55,0.6273810680979324,Rasmus
2020/05/20/19/59/55,0.6258269513751908,Rasmus
2020/05/20/19/59/56,0.6201453701566905,Rasmus
2020/05/20/19/59/56,0.572805804528837,Rasmus
2020/05/20/19/59/58,0.5863188018452377,Rasmus
